"Addresse des Users","Port des von ...",Userinformation1,Userinformation2,Datum,Request,Response,"Port für ...",Request-URL,Browser
40.76.162.247,13134,-,-,"07/Dec/2024:19:52:58 +0100","GET /adventskalender/slideshow.html HTTP/1.1",301,1072,"-","'DuckDuckBot-Https/1.1; (+https://duckduckgo.com/duckduckbot)'"
40.76.162.247,10512,-,-,"07/Dec/2024:19:52:59 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9098,"-","'DuckDuckBot-Https/1.1; (+https://duckduckgo.com/duckduckbot)'"
40.76.162.247,50532,-,-,"07/Dec/2024:19:53:01 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9098,"-","'DuckDuckBot-Https/1.1; (+https://duckduckgo.com/duckduckbot)'"
81.6.14.165,54344,-,-,"07/Dec/2024:20:53:52 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/index.html","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
2a02:1210:861f:600:7d81:3adc:740:2e12,59279,-,-,"07/Dec/2024:21:03:35 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
185.220.101.187,38131,-,-,"07/Dec/2024:21:46:39 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"-","Mozilla/5.0 (Windows NT 6.1; rv:45.0) Gecko/20100101 Firefox/45.0"
2a02:1210:880a:dc00:9172:1e30:fe3b:57be,53509,-,-,"07/Dec/2024:21:59:03 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4860,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
213.55.242.2,46968,-,-,"07/Dec/2024:22:22:27 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
62.167.161.159,17628,-,-,"07/Dec/2024:22:40:49 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_10 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
2a02:1210:84c3:a500:11f5:d20a:2438:1f6f,58292,-,-,"07/Dec/2024:22:50:48 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1"
178.39.7.80,52951,-,-,"08/Dec/2024:00:01:48 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
2a02:1210:4e65:1000:50df:bd36:a6a3:e0e0,55828,-,-,"08/Dec/2024:00:06:01 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 OPR/114.0.0.0"
2a02:1368:6200:1f08:e93f:9d1c:bd77:5de1,49287,-,-,"08/Dec/2024:00:43:23 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
52.167.144.160,51911,-,-,"08/Dec/2024:02:12:20 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9593,"-","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
179.43.136.227,52475,-,-,"08/Dec/2024:03:40:28 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0"
80.218.109.4,40138,-,-,"08/Dec/2024:09:09:21 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36"
80.218.109.4,40140,-,-,"08/Dec/2024:09:09:27 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36"
213.55.186.29,35636,-,-,"08/Dec/2024:11:11:06 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://portal.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1"
2a02:1210:84c3:a500:c10f:5eb1:7791:449a,61899,-,-,"08/Dec/2024:11:32:51 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1"
51.154.83.192,60148,-,-,"08/Dec/2024:11:50:57 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
51.154.83.192,60152,-,-,"08/Dec/2024:11:50:57 +0100","HEAD /adventskalender/slideshow.html HTTP/1.1",200,1386,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
51.154.83.192,60151,-,-,"08/Dec/2024:11:50:57 +0100","HEAD /adventskalender/slideshow.html HTTP/1.1",200,1386,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
51.154.83.192,60152,-,-,"08/Dec/2024:11:50:58 +0100","HEAD /adventskalender/slideshow.html HTTP/1.1",200,1386,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
51.154.83.192,60152,-,-,"08/Dec/2024:11:50:58 +0100","HEAD /adventskalender/slideshow.html HTTP/1.1",200,1386,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
51.154.83.192,60169,-,-,"08/Dec/2024:11:51:21 +0100","HEAD /adventskalender/slideshow.html HTTP/1.1",200,1950,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
51.154.83.192,60170,-,-,"08/Dec/2024:11:51:21 +0100","HEAD /adventskalender/slideshow.html HTTP/1.1",200,1950,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
51.154.83.192,60168,-,-,"08/Dec/2024:11:51:21 +0100","HEAD /adventskalender/slideshow.html HTTP/1.1",200,6658,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
2001:8e0:2079:b300:a9a4:1d89:69e4:d73d,61505,-,-,"08/Dec/2024:11:54:07 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15"
62.202.183.232,2193,-,-,"08/Dec/2024:13:03:44 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
2001:4860:7:62f::fc,35889,-,-,"08/Dec/2024:13:15:43 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.google.com/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
91.139.160.150,58500,-,-,"08/Dec/2024:13:19:49 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,17590,"https://portal.nanoo.tv/adventskalender/slideshow.html","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
2001:171b:2270:770:a0a9:3ff6:3670:80b0,65127,-,-,"08/Dec/2024:13:47:10 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
2001:4060:c004:5160:e139:d45a:ecc6:59e0,50528,-,-,"08/Dec/2024:14:06:42 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
94.198.248.247,56668,-,-,"08/Dec/2024:14:18:30 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4860,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
194.191.242.153,58657,-,-,"08/Dec/2024:15:00:45 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
194.230.160.93,27968,-,-,"08/Dec/2024:15:59:46 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"
62.202.180.96,59794,-,-,"08/Dec/2024:16:32:07 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36"
2a02:1210:808a:a700:5433:21c5:227d:a994,51307,-,-,"08/Dec/2024:16:51:44 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4860,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:133.0) Gecko/20100101 Firefox/133.0"
2a02:1210:4c06:7400:70c5:1156:ae04:b6ea,59878,-,-,"08/Dec/2024:17:41:45 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
2a02:1210:4c06:7400:70c5:1156:ae04:b6ea,60019,-,-,"08/Dec/2024:17:47:36 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
38.170.189.130,57333,-,-,"08/Dec/2024:17:58:00 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4241,"-","CodaBot/1.0"
3.210.114.189,35306,-,-,"08/Dec/2024:18:01:57 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,8870,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot)"
178.197.218.9,55499,-,-,"08/Dec/2024:18:23:07 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:133.0) Gecko/20100101 Firefox/133.0"
2a02:aa10:e282:a780:6cff:dee:5d68:59b3,54651,-,-,"08/Dec/2024:18:29:16 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
5.145.75.60,56467,-,-,"08/Dec/2024:18:53:21 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1"
84.75.72.21,56099,-,-,"08/Dec/2024:19:00:19 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15"
194.230.161.25,8514,-,-,"08/Dec/2024:19:28:57 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://portal.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.3 Mobile/15E148 Safari/604.1"
87.102.241.135,64308,-,-,"08/Dec/2024:19:47:19 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://portal.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1"
2a02:aa10:2381:e900:5895:1df6:13c7:434d,52512,-,-,"08/Dec/2024:20:02:08 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
178.38.195.130,59614,-,-,"08/Dec/2024:20:05:23 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4860,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
2a02:aa12:a680:e880:dc34:e9fa:b5fa:3c63,64116,-,-,"08/Dec/2024:20:19:00 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
62.202.180.80,51180,-,-,"08/Dec/2024:20:20:10 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Android 14; Mobile; rv:133.0) Gecko/133.0 Firefox/133.0"
62.202.180.80,51448,-,-,"08/Dec/2024:20:20:19 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Android 14; Mobile; rv:133.0) Gecko/133.0 Firefox/133.0"
62.202.180.80,51448,-,-,"08/Dec/2024:20:20:22 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Android 14; Mobile; rv:133.0) Gecko/133.0 Firefox/133.0"
178.197.202.131,38434,-,-,"08/Dec/2024:20:24:17 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
2001:1686:9202:701:fdd2:968:494a:7a99,50314,-,-,"08/Dec/2024:20:26:26 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15"
178.197.202.131,44904,-,-,"08/Dec/2024:20:33:16 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4860,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
84.226.95.17,54955,-,-,"08/Dec/2024:20:39:02 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_10 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
2a04:ee41:3:1142:1887:90a8:1484:50cb,50595,-,-,"08/Dec/2024:20:44:58 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
81.221.245.154,58618,-,-,"08/Dec/2024:20:55:55 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
2a00:9fe4:2e0a:c801:9472:ab1:f7b7:4e28,61170,-,-,"08/Dec/2024:21:27:50 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/index.html","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
2a00:9fe4:2e0a:c801:9472:ab1:f7b7:4e28,61299,-,-,"08/Dec/2024:21:28:28 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
2a04:cec0:104e:b272:94cf:291f:bc01:8a05,57015,-,-,"08/Dec/2024:21:34:46 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"-","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1"
145.40.201.156,57215,-,-,"08/Dec/2024:21:43:51 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
2a02:1210:4e65:1000:d431:a143:3c39:b096,64463,-,-,"08/Dec/2024:21:50:23 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 OPR/114.0.0.0"
2001:1708:2422:9800:a97b:736e:b4ee:8175,62851,-,-,"08/Dec/2024:21:50:29 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
135.181.213.219,14176,-,-,"08/Dec/2024:21:58:54 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9032,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
52.167.144.177,22549,-,-,"09/Dec/2024:01:33:24 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9593,"-","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.64.33,61486,-,-,"09/Dec/2024:03:45:13 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9537,"-","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.69 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2a09:bac2:1e55:1282::1d8:87,17890,-,-,"09/Dec/2024:05:55:11 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
2a01:4f8:212:1ac2::2,48094,-,-,"09/Dec/2024:07:23:58 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,16947,"-","DomainStatsBot/1.0 (https://domainstats.com/pages/our-bot)"
193.47.169.36,10402,-,-,"09/Dec/2024:07:55:08 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
195.189.148.1,10404,-,-,"09/Dec/2024:08:03:49 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
2a0b:7800:3:fa00:4c5d:b627:be9d:f9e6,63767,-,-,"09/Dec/2024:08:09:54 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4296,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Avira/130.0.0.0"
34.140.63.207,11932,-,-,"09/Dec/2024:08:14:02 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4241,"-","DnBCrawler-Analytics"
16.63.149.178,54638,-,-,"09/Dec/2024:08:38:04 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"
66.249.66.73,39366,-,-,"09/Dec/2024:08:51:54 +0100","GET /adventskalender/slideshow.html HTTP/1.1",304,6522,"-","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.69 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
193.5.248.19,10406,-,-,"09/Dec/2024:09:00:31 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
193.5.181.42,55398,-,-,"09/Dec/2024:09:07:53 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
81.221.245.154,59116,-,-,"09/Dec/2024:09:10:13 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
195.176.16.141,52822,-,-,"09/Dec/2024:09:42:37 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
193.222.112.35,54695,-,-,"09/Dec/2024:10:03:21 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
153.101.64.39,56709,-,-,"09/Dec/2024:10:22:03 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4303,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
2a02:1210:3404:6f00:109c:d31e:b6c6:d997,60504,-,-,"09/Dec/2024:10:39:43 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15"
193.47.169.76,10400,-,-,"09/Dec/2024:11:33:29 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
195.176.3.117,19583,-,-,"09/Dec/2024:11:42:32 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4860,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
31.165.227.76,57611,-,-,"09/Dec/2024:12:01:52 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4860,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
46.234.43.38,52122,-,-,"09/Dec/2024:12:09:11 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4860,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
82.220.20.36,53519,-,-,"09/Dec/2024:12:54:25 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9568,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
